,Country,Year,MRDT_Female,MRDT_Male,MRDT_Total
2800,HUN,2011,6.721091643134293,6.5567395640779225,6.740396380908259
2801,HUN,2012,6.5521519064472455,6.608613455777481,6.716022633302437
2802,HUN,2013,6.568333543655397,6.377958133767262,6.547165163451776
2803,HUN,2014,6.566899371967428,6.4562464821552386,6.601159038493766
2804,HUN,2015,6.323021944717188,6.492114241461423,6.551155677175295
2805,HUN,2016,6.634804377544671,6.3144582473475115,6.526718510937864
2806,HUN,2017,6.673694501951937,6.430055092869164,6.623640780238968
2807,HUN,2018,6.5712011117929725,6.4586306104930955,6.6150190484070555
2808,HUN,2019,6.588627099099037,6.308165857083814,6.513183050984256
2809,HUN,2020,6.542202863113972,6.312280522807558,6.495462432425589
2810,IRL,1950,10.391488035369704,8.892401263524176,9.560692897978672
2811,IRL,1951,9.215493560954226,8.635389205677134,8.905596806186878
2812,IRL,1952,9.023553160320482,8.713345533625358,8.866804413175258
2813,IRL,1953,9.160768958189387,8.087673618524171,8.555595168332793
2814,IRL,1954,8.63869918035503,8.066028643770881,8.325454674027094
2815,IRL,1955,8.566003364393067,7.526410186668149,7.979380053984989
2816,IRL,1956,8.43842161597044,7.7657433199126435,8.065329603409236
2817,IRL,1957,8.483802579686316,7.441760073820226,7.904183494308133
2818,IRL,1958,8.23229811865742,7.170669612865556,7.64262901466471
2819,IRL,1959,8.194668351815958,7.2813179271620765,7.671252356090462
2820,IRL,1960,8.135997993287084,7.238508681186094,7.626910644675549
2821,IRL,1961,8.020210097439653,7.3469263576455095,7.635636935076192
2822,IRL,1962,7.884965991893202,7.342550142247265,7.591904496151589
2823,IRL,1963,7.89840762057975,6.998559885252047,7.399740547235104
2824,IRL,1964,7.778964956737038,7.39334475787676,7.59212343937343
2825,IRL,1965,7.3732161370960965,7.136404026125605,7.2523626449921705
2826,IRL,1966,7.2721344046583445,6.782090782844186,7.008560950160639
2827,IRL,1967,7.427323981280861,6.6544050651887074,6.99622020146176
2828,IRL,1968,7.218926587972591,6.94981540428683,7.1021822687170895
2829,IRL,1969,7.292016279198924,6.806432447683257,7.033782083052857
2830,IRL,1970,6.909748360492738,6.837253655573742,6.910179851897793
2831,IRL,1971,7.053233288007988,6.751800924129471,6.9119784744555215
2832,IRL,1972,7.014733788296343,6.686585008448092,6.847974189462964
2833,IRL,1973,7.060915964647367,7.023414178000211,7.068818848415098
2834,IRL,1974,6.796373965882491,6.99952389766514,6.958133707233504
2835,IRL,1975,7.032990937075131,6.738470639163726,6.884610549746668
2836,IRL,1976,6.872200922467,6.671256724686032,6.797116921955358
2837,IRL,1977,6.666954694413359,6.631303366763899,6.677411091174238
2838,IRL,1978,6.914944168843717,6.82117362908686,6.909019757474889
