Australia, Exposure to risk (period 1x10), 	Last modified: 29 Nov 2022;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1960-1969       36            724338.75       779386.88      1503725.63
1960-1969       37            734508.47       787458.77      1521967.23
1960-1969       38            742532.87       793434.91      1535967.78
1960-1969       39            745392.00       794300.73      1539692.73
1960-1969       40            742966.03       788033.61      1530999.64
1960-1969       41            735106.42       774274.24      1509380.66
1960-1969       42            724487.42       757848.17      1482335.60
1960-1969       43            714002.91       741557.91      1455560.82
1960-1969       44            704001.76       727300.21      1431301.96
1960-1969       45            694402.78       715223.51      1409626.29
1960-1969       46            684655.34       703536.24      1388191.58
1960-1969       47            672349.36       690221.70      1362571.07
1960-1969       48            656854.99       674252.02      1331107.01
1960-1969       49            640540.87       657860.46      1298401.33
1960-1969       50            625912.90       644565.40      1270478.30
1960-1969       51            614362.56       634262.89      1248625.45
1960-1969       52            602143.31       623666.99      1225810.29
1960-1969       53            587013.83       609664.45      1196678.28
1960-1969       54            568968.15       593244.24      1162212.39
1960-1969       55            548778.72       573613.45      1122392.17
1960-1969       56            527587.20       551119.66      1078706.86
1960-1969       57            508486.51       527899.99      1036386.50
1960-1969       58            491989.72       504805.21       996794.93
1960-1969       59            477053.56       482607.20       959660.76
1960-1969       60            462597.72       460226.58       922824.30
1960-1969       61            448964.38       438118.66       887083.03
1960-1969       62            435561.47       416570.26       852131.72
1960-1969       63            423913.91       394397.88       818311.80
1960-1969       64            412712.48       372535.11       785247.59
1960-1969       65            401958.10       351752.74       753710.84
1960-1969       66            392738.55       333260.52       725999.07
1960-1969       67            383748.77       316146.81       699895.58
1960-1969       68            372813.82       298870.20       671684.03
1960-1969       69            358743.43       281540.51       640283.94
1960-1969       70            343619.18       264452.87       608072.05
1960-1969       71            329507.40       248784.90       578292.30
1960-1969       72            315076.01       233640.65       548716.66
1960-1969       73            298026.10       217451.94       515478.04
1960-1969       74            279465.30       200905.94       480371.23
1960-1969       75            260013.62       184194.96       444208.58
1960-1969       76            239797.48       167112.70       406910.18
1960-1969       77            219026.22       150035.33       369061.55
1960-1969       78            198022.98       132793.64       330816.62
1960-1969       79            177803.20       116039.60       293842.80
1960-1969       80            166213.53       104534.39       270747.91
1960-1969       81            146607.31        89643.21       236250.51
1960-1969       82            127894.77        75969.45       203864.22
1960-1969       83            110081.14        63452.83       173533.97
1960-1969       84             93258.86        52172.50       145431.36
1960-1969       85             77781.57        42120.45       119902.02
1960-1969       86             64085.81        33591.57        97677.37
1960-1969       87             52103.98        26348.18        78452.16
1960-1969       88             41826.34        20324.86        62151.20
1960-1969       89             32960.85        15483.60        48444.45
1960-1969       90             25382.47        11613.87        36996.34
1960-1969       91             19307.66         8560.84        27868.50
1960-1969       92             14450.32         6231.82        20682.14
1960-1969       93             10457.18         4423.51        14880.69
1960-1969       94              7342.28         3019.96        10362.24
1960-1969       95              5010.07         2002.76         7012.82
1960-1969       96              3371.91         1287.03         4658.93
1960-1969       97              2228.03          806.63         3034.67
1960-1969       98              1413.97          488.20         1902.17
1960-1969       99               862.58          278.32         1140.90
1960-1969      100               508.84          165.32          674.16
1960-1969      101               289.66          100.48          390.14
1960-1969      102               158.40           57.05          215.45
1960-1969      103                83.56           30.01          113.57
1960-1969      104                38.08           13.86           51.94
1960-1969      105                17.62            6.01           23.62
1960-1969      106                10.35            2.89           13.24
1960-1969      107                 5.93            0.70            6.64
1960-1969      108                 4.10            0.00            4.10
1960-1969      109                 2.56            0.00            2.56
1960-1969      110+                0.72            0.00            0.72
1970-1979        0           1176728.63      1233559.55      2410288.19
1970-1979        1           1191056.79      1245701.65      2436758.44
1970-1979        2           1207923.54      1262420.41      2470343.94
1970-1979        3           1221601.56      1276922.05      2498523.61
1970-1979        4           1230485.99      1286985.61      2517471.60
1970-1979        5           1236269.59      1293460.51      2529730.09
1970-1979        6           1239612.01      1298411.76      2538023.77
1970-1979        7           1239419.38      1300247.59      2539666.97
1970-1979        8           1236294.74      1299059.82      2535354.56
1970-1979        9           1229701.33      1294114.22      2523815.56
1970-1979       10           1228314.57      1293820.44      2522135.01
1970-1979       11           1227446.34      1293043.69      2520490.03
1970-1979       12           1229796.72      1295627.76      2525424.48
1970-1979       13           1229483.19      1295748.17      2525231.36
1970-1979       14           1227461.05      1292872.32      2520333.36
1970-1979       15           1222006.43      1282742.66      2504749.09
1970-1979       16           1211308.70      1265445.32      2476754.02
1970-1979       17           1196462.78      1244148.99      2440611.77
1970-1979       18           1181622.74      1222858.96      2404481.70
1970-1979       19           1168812.53      1205233.02      2374045.55
1970-1979       20           1157170.93      1192998.36      2350169.29
1970-1979       21           1146372.41      1181302.57      2327674.98
1970-1979       22           1141511.18      1176102.43      2317613.61
1970-1979       23           1140138.65      1177019.89      2317158.54
1970-1979       24           1132711.21      1170023.44      2302734.66
1970-1979       25           1120002.27      1157859.20      2277861.47
1970-1979       26           1103090.97      1143282.75      2246373.72
1970-1979       27           1079246.15      1124430.77      2203676.92
1970-1979       28           1052874.20      1103078.16      2155952.36
1970-1979       29           1020895.20      1075619.30      2096514.49
1970-1979       30            988989.02      1046538.37      2035527.40
1970-1979       31            954468.57      1012947.51      1967416.07
1970-1979       32            918920.70       974893.35      1893814.05
1970-1979       33            881176.03       933566.73      1814742.75
1970-1979       34            851155.70       899927.51      1751083.21
