The United States of America, Exposure to risk (period 1x10), 	Last modified: 15 Mar 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2020-2021       96            192575.31        72115.54       264690.84
2020-2021       97            142707.97        49362.98       192070.95
2020-2021       98            103214.19        32549.78       135763.97
2020-2021       99             72729.95        20756.64        93486.59
2020-2021      100             47896.51        12393.23        60289.74
2020-2021      101             29916.99         7006.92        36923.91
2020-2021      102             18458.00         3847.86        22305.85
2020-2021      103             11139.86         2055.05        13194.91
2020-2021      104              6370.60         1056.28         7426.88
2020-2021      105              3582.08          557.23         4139.31
2020-2021      106              1985.35          282.82         2268.16
2020-2021      107              1091.12          135.38         1226.50
2020-2021      108               567.76           66.36          634.12
2020-2021      109               283.95           34.95          318.90
2020-2021      110+              238.19           58.57          296.76
