Australia,  Exposures (Lexis triangle)	Last modified: 29 Nov 2022;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1922    1      1920    30670.01    31908.42    62578.43
 1922    2      1920    30530.99    31811.03    62342.02
 1922    2      1919    28637.14    29808.52    58445.65
 1922    3      1919    28594.18    29822.26    58416.44
 1922    3      1918    28333.40    29357.05    57690.44
 1922    4      1918    28333.46    29359.21    57692.67
 1922    4      1917    29036.16    29985.94    59022.10
 1922    5      1917    29030.01    29958.53    58988.54
 1922    5      1916    29268.10    30289.04    59557.14
 1922    6      1916    29283.56    30309.81    59593.38
 1922    6      1915    29861.57    30761.56    60623.13
 1922    7      1915    29902.31    30829.67    60731.98
 1922    7      1914    30443.28    31093.35    61536.62
 1922    8      1914    30509.40    31161.41    61670.81
 1922    8      1913    29672.71    30320.89    59993.60
 1922    9      1913    29785.76    30387.64    60173.40
 1922    9      1912    28822.29    29346.26    58168.54
 1922   10      1912    28908.14    29460.83    58368.97
 1922   10      1911    28049.02    28522.18    56571.20
 1922   11      1911    28110.04    28610.53    56720.58
 1922   11      1910    27147.81    27944.98    55092.78
 1922   12      1910    27257.58    28032.59    55290.18
 1922   12      1909    26324.94    27273.69    53598.63
 1922   13      1909    26408.99    27362.09    53771.08
 1922   13      1908    25944.63    26495.02    52439.64
 1922   14      1908    26006.26    26609.68    52615.94
 1922   14      1907    25547.27    25945.72    51493.00
 1922   15      1907    25609.59    26085.50    51695.09
 1922   15      1906    24573.78    25543.64    50117.42
 1922   16      1906    24658.92    25709.68    50368.60
 1922   16      1905    24070.75    25095.12    49165.87
 1922   17      1905    24131.79    25262.42    49394.20
 1922   17      1904    23399.00    23923.22    47322.22
 1922   18      1904    23438.43    24089.80    47528.23
 1922   18      1903    22717.41    22994.07    45711.47
 1922   19      1903    22807.92    23188.79    45996.70
 1922   19      1902    22841.16    22986.81    45827.97
 1922   20      1902    22934.12    23160.52    46094.63
 1922   20      1901    22990.22    23016.01    46006.23
 1922   21      1901    23083.75    23262.01    46345.76
 1922   21      1900    23314.26    23089.75    46404.01
 1922   22      1900    23433.87    23312.21    46746.08
 1922   22      1899    23044.30    22371.11    45415.42
 1922   23      1899    23141.23    22618.19    45759.43
 1922   23      1898    22637.85    21565.80    44203.65
 1922   24      1898    22736.26    21812.37    44548.63
 1922   24      1897    23011.00    21391.32    44402.32
 1922   25      1897    23085.14    21639.35    44724.49
 1922   25      1896    23412.12    21561.89    44974.01
 1922   26      1896    23461.35    21862.77    45324.11
 1922   26      1895    23537.48    21986.43    45523.91
 1922   27      1895    23612.63    22164.79    45777.41
 1922   27      1894    23686.65    22235.29    45921.94
 1922   28      1894    23736.81    22463.03    46199.84
 1922   28      1893    23787.22    22710.20    46497.42
 1922   29      1893    23865.56    22913.88    46779.44
 1922   29      1892    23834.40    23085.35    46919.75
 1922   30      1892    23914.49    23264.12    47178.61
 1922   30      1891    23464.10    23162.18    46626.28
 1922   31      1891    23541.48    23339.06    46880.54
 1922   31      1890    22740.04    23063.71    45803.75
 1922   32      1890    22818.69    23215.90    46034.58
 1922   32      1889    22385.34    23185.04    45570.38
 1922   33      1889    22440.56    23341.52    45782.08
 1922   33      1888    22062.38    22962.27    45024.65
 1922   34      1888    22117.05    23144.81    45261.87
 1922   34      1887    21413.96    22164.08    43578.04
 1922   35      1887    21468.56    22321.90    43790.46
 1922   35      1886    20737.57    21510.03    42247.61
 1922   36      1886    20767.81    21641.57    42409.38
 1922   36      1885    20286.05    21063.35    41349.40
 1922   37      1885    20342.88    21220.36    41563.24
 1922   37      1884    19514.07    20411.59    39925.67
 1922   38      1884    19543.27    20500.41    40043.68
 1922   38      1883    18540.32    19359.75    37900.07
 1922   39      1883    18519.96    19498.31    38018.27
 1922   39      1882    17984.64    18683.86    36668.50
 1922   40      1882    17991.27    18769.09    36760.36
 1922   40      1881    17760.51    18482.80    36243.30
 1922   41      1881    17714.45    18541.80    36256.25
 1922   41      1880    17437.84    18235.64    35673.48
 1922   42      1880    17417.38    18323.86    35741.24
 1922   42      1879    16614.09    17557.13    34171.22
 1922   43      1879    16593.53    17599.25    34192.78
 1922   43      1878    15614.72    16583.94    32198.66
 1922   44      1878    15591.67    16647.83    32239.50
 1922   44      1877    14938.78    15858.78    30797.56
 1922   45      1877    14944.33    15905.13    30849.46
 1922   45      1876    14508.92    15298.92    29807.84
 1922   46      1876    14489.65    15347.10    29836.75
 1922   46      1875    14212.62    14955.71    29168.33
 1922   47      1875    14192.69    15000.75    29193.44
 1922   47      1874    13859.75    14651.12    28510.87
 1922   48      1874    13865.58    14675.02    28540.60
 1922   48      1873    13487.31    14302.32    27789.63
 1922   49      1873    13468.72    14350.69    27819.41
 1922   49      1872    13158.83    14225.04    27383.88
 1922   50      1872    13144.26    14181.41    27325.67
 1922   50      1871    12957.07    14266.25    27223.32
 1922   51      1871    12941.22    14271.89    27213.11
 1922   51      1870    12685.65    14227.81    26913.47
 1922   52      1870    12673.55    14206.02    26879.57
 1922   52      1869    12254.80    13747.34    26002.14
 1922   53      1869    12245.35    13754.38    25999.73
 1922   53      1868    11832.38    13124.52    24956.90
 1922   54      1868    11821.14    13133.25    24954.39
 1922   54      1867    11233.67    12645.22    23878.88
 1922   55      1867    11248.42    12634.91    23883.33
 1922   55      1866    10656.59    12342.21    22998.81
 1922   56      1866    10672.62    12334.21    23006.83
 1922   56      1865    10428.44    12240.00    22668.44
 1922   57      1865    10421.86    12235.30    22657.16
 1922   57      1864    10204.95    11990.81    22195.76
 1922   58      1864    10200.38    11966.21    22166.59
 1922   58      1863     9927.31    11513.32    21440.63
 1922   59      1863     9872.52    11489.54    21362.06
