Chile,  Exposures (Lexis triangle)	Last modified: 18 Apr 2022;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1994   21      1973    62064.74    63427.46   125492.20
 1994   21      1972    61116.54    60549.37   121665.91
 1994   22      1972    61198.56    60625.47   121824.03
 1994   22      1971    62437.12    61285.08   123722.20
 1994   23      1971    59401.08    58345.24   117746.32
 1994   23      1970    61086.53    60617.05   121703.57
 1994   24      1970    58614.22    58106.14   116720.36
 1994   24      1969    60288.72    59668.33   119957.04
 1994   25      1969    60600.69    59915.02   120515.71
 1994   25      1968    60987.17    59602.46   120589.63
 1994   26      1968    61512.24    60201.82   121714.06
 1994   26      1967    61727.39    59901.76   121629.14
 1994   27      1967    61532.67    59731.81   121264.48
 1994   27      1966    62759.72    60288.18   123047.90
 1994   28      1966    60741.23    58368.03   119109.26
 1994   28      1965    63775.53    61162.40   124937.93
 1994   29      1965    62330.28    59776.77   122107.05
 1994   29      1964    65052.92    62576.19   127629.11
 1994   30      1964    62265.67    59837.88   122103.55
 1994   30      1963    62788.35    60923.15   123711.50
 1994   31      1963    61946.20    60172.85   122119.05
 1994   31      1962    63880.58    61376.42   125257.00
 1994   32      1962    60800.39    58478.97   119279.36
 1994   32      1961    62668.42    59780.43   122448.85
 1994   33      1961    60127.53    57306.47   117434.00
 1994   33      1960    59054.01    56780.96   115834.97
 1994   34      1960    55703.75    53624.17   109327.91
 1994   34      1959    61108.30    58241.60   119349.90
 1994   35      1959    58932.79    56250.48   115183.27
 1994   35      1958    56304.41    54800.53   111104.94
 1994   36      1958    53309.75    51746.91   105056.66
 1994   36      1957    52228.66    50118.60   102347.26
 1994   37      1957    50105.54    48110.75    98216.29
 1994   37      1956    52393.78    49563.12   101956.90
 1994   38      1956    48957.94    46358.43    95316.37
 1994   38      1955    50969.29    47997.25    98966.54
 1994   39      1955    46818.77    44159.37    90978.14
 1994   39      1954    49186.77    46298.31    95485.08
 1994   40      1954    45482.44    42914.92    88397.36
 1994   40      1953    47406.48    45031.86    92438.33
