PopName,Area,Sex,Age,AgeInterval,Type,Day,Month,Year,RefCode,Access,Population,NoteCode1,NoteCode2,NoteCode3,LDB
ESP,10,f,UNK,.,C,31,12,1910,30,O,9698,.,.,.,1
ESP,10,m,0,1,C,31,12,1910,30,O,225450,.,.,.,1
ESP,10,m,1,1,C,31,12,1910,30,O,230381,.,.,.,1
ESP,10,m,2,1,C,31,12,1910,30,O,254211,.,.,.,1
ESP,10,m,3,1,C,31,12,1910,30,O,247178,.,.,.,1
ESP,10,m,4,1,C,31,12,1910,30,O,239197,.,.,.,1
ESP,10,m,5,1,C,31,12,1910,30,O,237756,.,.,.,1
ESP,10,m,6,1,C,31,12,1910,30,O,238681,.,.,.,1
ESP,10,m,7,1,C,31,12,1910,30,O,238600,.,.,.,1
ESP,10,m,8,1,C,31,12,1910,30,O,241088,.,.,.,1
ESP,10,m,9,1,C,31,12,1910,30,O,216906,.,.,.,1
ESP,10,m,10,1,C,31,12,1910,30,O,234102,.,.,.,1
ESP,10,m,11,1,C,31,12,1910,30,O,195163,.,.,.,1
ESP,10,m,12,1,C,31,12,1910,30,O,219090,.,.,.,1
ESP,10,m,13,1,C,31,12,1910,30,O,196616,.,.,.,1
ESP,10,m,14,1,C,31,12,1910,30,O,202007,.,.,.,1
ESP,10,m,15,1,C,31,12,1910,30,O,179953,.,.,.,1
ESP,10,m,16,1,C,31,12,1910,30,O,173089,.,.,.,1
ESP,10,m,17,1,C,31,12,1910,30,O,172549,.,.,.,1
ESP,10,m,18,1,C,31,12,1910,30,O,182758,.,.,.,1
ESP,10,m,19,1,C,31,12,1910,30,O,147052,.,.,.,1
ESP,10,m,20,1,C,31,12,1910,30,O,155726,.,.,.,1
ESP,10,m,21,1,C,31,12,1910,30,O,138637,.,.,.,1
ESP,10,m,22,1,C,31,12,1910,30,O,168953,.,.,.,1
ESP,10,m,23,1,C,31,12,1910,30,O,161722,.,.,.,1
ESP,10,m,24,1,C,31,12,1910,30,O,151027,.,.,.,1
ESP,10,m,25,1,C,31,12,1910,30,O,149101,.,.,.,1
ESP,10,m,26,1,C,31,12,1910,30,O,146265,.,.,.,1
ESP,10,m,27,1,C,31,12,1910,30,O,133594,.,.,.,1
ESP,10,m,28,1,C,31,12,1910,30,O,148763,.,.,.,1
ESP,10,m,29,1,C,31,12,1910,30,O,116013,.,.,.,1
ESP,10,m,30,1,C,31,12,1910,30,O,183402,.,.,.,1
ESP,10,m,31,1,C,31,12,1910,30,O,95998,.,.,.,1
ESP,10,m,32,1,C,31,12,1910,30,O,131779,.,.,.,1
ESP,10,m,33,1,C,31,12,1910,30,O,119590,.,.,.,1
ESP,10,m,34,1,C,31,12,1910,30,O,121572,.,.,.,1
ESP,10,m,35,1,C,31,12,1910,30,O,124217,.,.,.,1
ESP,10,m,36,1,C,31,12,1910,30,O,124136,.,.,.,1
ESP,10,m,37,1,C,31,12,1910,30,O,101918,.,.,.,1
ESP,10,m,38,1,C,31,12,1910,30,O,124456,.,.,.,1
ESP,10,m,39,1,C,31,12,1910,30,O,94718,.,.,.,1
ESP,10,m,40,1,C,31,12,1910,30,O,190700,.,.,.,1
ESP,10,m,41,1,C,31,12,1910,30,O,75170,.,.,.,1
ESP,10,m,42,1,C,31,12,1910,30,O,109908,.,.,.,1
ESP,10,m,43,1,C,31,12,1910,30,O,85509,.,.,.,1
ESP,10,m,44,1,C,31,12,1910,30,O,104564,.,.,.,1
ESP,10,m,45,1,C,31,12,1910,30,O,120581,.,.,.,1
ESP,10,m,46,1,C,31,12,1910,30,O,100190,.,.,.,1
ESP,10,m,47,1,C,31,12,1910,30,O,81120,.,.,.,1
ESP,10,m,48,1,C,31,12,1910,30,O,106807,.,.,.,1
ESP,10,m,49,1,C,31,12,1910,30,O,80744,.,.,.,1
ESP,10,m,50,1,C,31,12,1910,30,O,169997,.,.,.,1
ESP,10,m,51,1,C,31,12,1910,30,O,64689,.,.,.,1
ESP,10,m,52,1,C,31,12,1910,30,O,86859,.,.,.,1
ESP,10,m,53,1,C,31,12,1910,30,O,66339,.,.,.,1
ESP,10,m,54,1,C,31,12,1910,30,O,78119,.,.,.,1
ESP,10,m,55,1,C,31,12,1910,30,O,84168,.,.,.,1
ESP,10,m,56,1,C,31,12,1910,30,O,80732,.,.,.,1
ESP,10,m,57,1,C,31,12,1910,30,O,59372,.,.,.,1
ESP,10,m,58,1,C,31,12,1910,30,O,76499,.,.,.,1
ESP,10,m,59,1,C,31,12,1910,30,O,56569,.,.,.,1
ESP,10,m,60,1,C,31,12,1910,30,O,135293,.,.,.,1
ESP,10,m,61,1,C,31,12,1910,30,O,48142,.,.,.,1
ESP,10,m,62,1,C,31,12,1910,30,O,63474,.,.,.,1
ESP,10,m,63,1,C,31,12,1910,30,O,50596,.,.,.,1
ESP,10,m,64,1,C,31,12,1910,30,O,58434,.,.,.,1
ESP,10,m,65,1,C,31,12,1910,30,O,59168,.,.,.,1
ESP,10,m,66,1,C,31,12,1910,30,O,53371,.,.,.,1
ESP,10,m,67,1,C,31,12,1910,30,O,40935,.,.,.,1
ESP,10,m,68,1,C,31,12,1910,30,O,45468,.,.,.,1
