The United States of America, Exposure to risk (cohort 5x5), 	Last modified: 15 Mar 2023;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
1955-1959     40-44         56464441.34     55504644.39    111969085.73
1955-1959     45-49         56392970.93     54903412.49    111296383.42
1955-1959     50-54         56363421.23     54177798.11    110541219.33
1955-1959     55-59         55522022.48     52422872.44    107944894.92
1955-1959     60-64         40858476.64     38025520.45     78883997.09
1955-1959     65-69                   .               .               .
1955-1959     70-74                   .               .               .
1955-1959     75-79                   .               .               .
1955-1959     80-84                   .               .               .
1955-1959     85-89                   .               .               .
1955-1959     90-94                   .               .               .
1955-1959     95-99                   .               .               .
1955-1959    100-104                  .               .               .
1955-1959    105-109                  .               .               .
1955-1959    110+                     .               .               .
1960-1964        0           9954231.11     10327081.28     20281312.39
1960-1964      1-4          39197332.68     40622261.49     79819594.17
1960-1964      5-9          49401483.25     51299703.09    100701186.34
1960-1964     10-14         50869127.53     52992199.95    103861327.48
1960-1964     15-19         52196622.00     53962625.80    106159247.79
1960-1964     20-24         53013698.62     53845949.62    106859648.24
1960-1964     25-29         53615518.27     54042924.16    107658442.43
1960-1964     30-34         55955278.65     56140117.77    112095396.42
1960-1964     35-39         57250398.53     56934447.12    114184845.64
1960-1964     40-44         57538787.07     56565086.95    114103874.02
1960-1964     45-49         57479142.76     56039675.52    113518818.29
1960-1964     50-54         56988425.80     54924257.73    111912683.53
1960-1964     55-59         42803032.35     40945916.43     83748948.78
1960-1964     60-64                   .               .               .
1960-1964     65-69                   .               .               .
1960-1964     70-74                   .               .               .
1960-1964     75-79                   .               .               .
1960-1964     80-84                   .               .               .
1960-1964     85-89                   .               .               .
1960-1964     90-94                   .               .               .
1960-1964     95-99                   .               .               .
1960-1964    100-104                  .               .               .
1960-1964    105-109                  .               .               .
1960-1964    110+                     .               .               .
1965-1969        0           8583969.01      8944867.95     17528836.96
1965-1969      1-4          33907826.50     35221617.44     69129443.93
1965-1969      5-9          43397797.37     45129806.24     88527603.61
1965-1969     10-14         44884408.00     46822864.70     91707272.70
1965-1969     15-19         46237420.37     48123049.77     94360470.14
1965-1969     20-24         47218071.09     48758878.68     95976949.76
1965-1969     25-29         48876856.99     49529823.11     98406680.10
1965-1969     30-34         51192466.66     51722257.41    102914724.07
1965-1969     35-39         52161332.31     52019997.65    104181329.96
1965-1969     40-44         52640912.24     52075341.78    104716254.02
1965-1969     45-49         52456437.98     51498954.96    103955392.94
1965-1969     50-54         39548458.07     38758048.71     78306506.78
1965-1969     55-59                   .               .               .
1965-1969     60-64                   .               .               .
1965-1969     65-69                   .               .               .
1965-1969     70-74                   .               .               .
1965-1969     75-79                   .               .               .
1965-1969     80-84                   .               .               .
1965-1969     85-89                   .               .               .
1965-1969     90-94                   .               .               .
1965-1969     95-99                   .               .               .
1965-1969    100-104                  .               .               .
1965-1969    105-109                  .               .               .
1965-1969    110+                     .               .               .
1970-1974        0           8063654.24      8447932.67     16511586.91
1970-1974      1-4          31838923.00     33253928.07     65092851.08
1970-1974      5-9          40924421.30     42814571.16     83738992.46
1970-1974     10-14         42079725.75     44120826.17     86200551.93
1970-1974     15-19         43762615.33     46048505.78     89811121.11
1970-1974     20-24         45499918.19     47162963.83     92662882.02
1970-1974     25-29         47970184.62     48854732.47     96824917.09
1970-1974     30-34         49727986.81     50033240.56     99761227.36
1970-1974     35-39         50922652.53     50537556.29    101460208.82
1970-1974     40-44         51223116.33     50455797.20    101678913.54
1970-1974     45-49         39359439.03     38806882.36     78166321.39
1970-1974     50-54                   .               .               .
1970-1974     55-59                   .               .               .
1970-1974     60-64                   .               .               .
1970-1974     65-69                   .               .               .
1970-1974     70-74                   .               .               .
